province,number,x,y
湖北,33366,5.6,5.25
浙江,1131,7.6,4.2
广东,1219,6.4,3.15
河南,1135,5.2,6.3
湖南,946,6,4.2
安徽,889,6.4,5.25
江西,844,6.8,4.2
重庆,505,5.2,4.2
四川,436,4.4,4.2
山东,497,7.6,6.3
江苏,543,7.2,5.25
上海,311,8,5.25
北京,352,7.2,7.35
福建,272,7.2,3.15
陕西,225,4.8,5.25
广西,222,5.6,3.15
河北,251,6,6.3
云南,154,4,3.15
黑龙江,378,8.8,9.45
辽宁,116,8,7.35
海南,151,6.4,0
山西,124,4.4,6.3
天津,107,6.8,6.3
甘肃,86,3.6,6.3
贵州,131,4.8,3.15
宁夏,58,4,5.25
内蒙古,60,7.6,8.4
新疆,59,2.4,7.35
吉林,83,8.4,8.4
香港,49,6.8,2.1
台湾,18,8.8,3.15
青海,18,2.8,6.3
澳门,10,6,2.1
西藏,1,3.6,4.2